Year,Spain
"1900-01-01 00:00:00",17809145767
"1901-01-01 00:00:00",18296832372
"1902-01-01 00:00:00",18680281613
"1903-01-01 00:00:00",18653823363
"1904-01-01 00:00:00",20794898222
"1905-01-01 00:00:00",22485751358
"1906-01-01 00:00:00",22671610388
"1907-01-01 00:00:00",25917418947
"1908-01-01 00:00:00",27478121916
"1909-01-01 00:00:00",27618912370
"1910-01-01 00:00:00",27088705322
"1911-01-01 00:00:00",26150552764
"1912-01-01 00:00:00",27631596048
"1913-01-01 00:00:00",28370033594
"1914-01-01 00:00:00",29547124502
"1915-01-01 00:00:00",31316806941
"1916-01-01 00:00:00",37398296761
"1917-01-01 00:00:00",40268569131
"1918-01-01 00:00:00",48508164782
"1919-01-01 00:00:00",42176591583
"1920-01-01 00:00:00",39992206604
"1921-01-01 00:00:00",36240907073
"1922-01-01 00:00:00",32316816626.111164
"1923-01-01 00:00:00",43063615645.814804
"1924-01-01 00:00:00",44318318023.51856
"1925-01-01 00:00:00",44274457632.222206
"1926-01-01 00:00:00",47120790637.92597
"1927-01-01 00:00:00",47600583789.629616
"1928-01-01 00:00:00",46363773822.333374
"1929-01-01 00:00:00",57130921981.06703
"1930-01-01 00:00:00",58065220975.80071
"1931-01-01 00:00:00",57534761849.963005
"1932-01-01 00:00:00",56408087295.26806
"1933-01-01 00:00:00",51025738732.716064
"1934-01-01 00:00:00",50974621444.73548
"1935-01-01 00:00:00",58628249576.897736
"1936-01-01 00:00:00",32322982358.202858
"1937-01-01 00:00:00",23763024030.793636
"1938-01-01 00:00:00",46968647080.02818
"1939-01-01 00:00:00",55331997886.40569
"1940-01-01 00:00:00",74543364395.35454
"1941-01-01 00:00:00",76470609824.44618
"1942-01-01 00:00:00",83266058073.68083
"1943-01-01 00:00:00",86376218225.34393
"1944-01-01 00:00:00",92099116617.14987
"1945-01-01 00:00:00",92509563204.81306
"1946-01-01 00:00:00",96173675068.04759
"1947-01-01 00:00:00",96327011911.01582
"1948-01-01 00:00:00",96432300931.14288
"1949-01-01 00:00:00",94876744945.96823
"1950-01-01 00:00:00",100819085960.09521
"1951-01-01 00:00:00",109354258891.66666
"1952-01-01 00:00:00",117656022913.39717
"1953-01-01 00:00:00",119425930517.68242
"1954-01-01 00:00:00",121437292322.01593
"1955-01-01 00:00:00",125691097584.34955
"1956-01-01 00:00:00",136047939534.34926
"1957-01-01 00:00:00",143771116415.71478
"1958-01-01 00:00:00",152806864836.19003
"1959-01-01 00:00:00",151144442877.31696
"1960-01-01 00:00:00",154319369353.66617
"1961-01-01 00:00:00",197646682007.44504
"1962-01-01 00:00:00",153913185314.52383
"1963-01-01 00:00:00",170564891834.5874
"1964-01-01 00:00:00",164527193127.01556
"1965-01-01 00:00:00",168348491519.23837
"1966-01-01 00:00:00",189266982885.47623
"1967-01-01 00:00:00",173762925042.2218
"1968-01-01 00:00:00",181541705922.57916
"1969-01-01 00:00:00",198103769967.91513
"1970-01-01 00:00:00",192067753765.47577
"1971-01-01 00:00:00",196346911115.5639
"1972-01-01 00:00:00",216069508538.24005
"1973-01-01 00:00:00",201187139384.95258
"1974-01-01 00:00:00",224223720775.1298
"1975-01-01 00:00:00",217351517990.65372
"1976-01-01 00:00:00",208057823266.84402
"1977-01-01 00:00:00",267452152103.55237
"1978-01-01 00:00:00",289407599567.3115
"1979-01-01 00:00:00",326459550529.95135
"1980-01-01 00:00:00",263220424533.33
"1981-01-01 00:00:00",284260619249.59
"1982-01-01 00:00:00",320372513069.5
"1983-01-01 00:00:00",348362317467.12
"1984-01-01 00:00:00",391149116611.9
"1985-01-01 00:00:00",405190574200.8
"1986-01-01 00:00:00",414034108657.5
"1987-01-01 00:00:00",410482872805.9
"1988-01-01 00:00:00",440405822269.8
"1989-01-01 00:00:00",438516299658.8
"1990-01-01 00:00:00",441490956993.782
"1991-01-01 00:00:00",442564711164.982
"1992-01-01 00:00:00",417365671701.855
"1993-01-01 00:00:00",413843080192.518
"1994-01-01 00:00:00",405981487943.141
"1995-01-01 00:00:00",387103428029.477
"1996-01-01 00:00:00",428146674424.964
"1997-01-01 00:00:00",405999388027.367
"1998-01-01 00:00:00",415954031517.467
"1999-01-01 00:00:00",376880575844.919
"2000-01-01 00:00:00",406100531522.943
"2001-01-01 00:00:00",449685327974.411
"2002-01-01 00:00:00",403599264791.074
"2003-01-01 00:00:00",450915191813.55
"2004-01-01 00:00:00",441367466916.08
"2005-01-01 00:00:00",393295608527.19
"2006-01-01 00:00:00",423443764393.04
"2007-01-01 00:00:00",420999609035.88
"2008-01-01 00:00:00",408228399422.56
"2009-01-01 00:00:00",426233700572.57
"2010-01-01 00:00:00",511583486629.69
"2011-01-01 00:00:00",459265379251.21
"2012-01-01 00:00:00",463909854850.55
"2013-01-01 00:00:00",516654775425.3
"2014-01-01 00:00:00",516641722471.54
"2015-01-01 00:00:00",471919174978.02
"2016-01-01 00:00:00",490827195634.81